Wavenumber,Intensity
2.000000000000000000e+02,7.424501424501424651e+01
2.010000000000000000e+02,6.285518607549857961e+01
2.020000000000000000e+02,5.146191239316239319e+01
2.030000000000000000e+02,3.997848112535612586e+01
2.040000000000000000e+02,2.851235754985755122e+01
2.050000000000000000e+02,1.726402243589743790e+01
2.060000000000000000e+02,7.373059116809118407e+00
2.070000000000000000e+02,8.416479700854701207e+00
2.080000000000000000e+02,9.469195156695157323e+00
2.090000000000000000e+02,1.057574341168091259e+01
2.100000000000000000e+02,1.173704594017093861e+01
2.110000000000000000e+02,1.314109241452991483e+01
2.120000000000000000e+02,1.443151709401709404e+01
2.130000000000000000e+02,1.532110933048432955e+01
2.140000000000000000e+02,1.614376780626780672e+01
2.150000000000000000e+02,1.677359330484330613e+01
2.160000000000000000e+02,1.747350427350427537e+01
2.170000000000000000e+02,1.834132834757834729e+01
2.180000000000000000e+02,1.914112357549857535e+01
2.190000000000000000e+02,1.980360131766381571e+01
2.200000000000000000e+02,2.016960470085470192e+01
2.210000000000000000e+02,2.002666043447293376e+01
2.220000000000000000e+02,1.975385505698005773e+01
2.230000000000000000e+02,1.929019319800569576e+01
2.240000000000000000e+02,1.882396723646723302e+01
2.250000000000000000e+02,1.835450053418803407e+01
2.260000000000000000e+02,1.795031160968660799e+01
2.270000000000000000e+02,1.761725872507122403e+01
2.280000000000000000e+02,1.792288105413105725e+01
2.290000000000000000e+02,1.882916221509971777e+01
2.300000000000000000e+02,1.967374465811965933e+01
2.310000000000000000e+02,2.046828258547008517e+01
2.320000000000000000e+02,2.125726495726495813e+01
2.330000000000000000e+02,2.204237001424501230e+01
2.340000000000000000e+02,2.305768340455840715e+01
2.350000000000000000e+02,2.421067040598290632e+01
2.360000000000000000e+02,2.535933048433048853e+01
2.370000000000000000e+02,2.650578703703703809e+01
2.380000000000000000e+02,2.767761752136751596e+01
2.390000000000000000e+02,2.886035434472934469e+01
2.400000000000000000e+02,3.028881766381766028e+01
2.410000000000000000e+02,3.180533297720798203e+01
2.420000000000000000e+02,3.476503739316239461e+01
2.430000000000000000e+02,3.814853543447292594e+01
2.440000000000000000e+02,4.203384971509972701e+01
2.450000000000000000e+02,4.603701477920228058e+01
2.460000000000000000e+02,5.088486467236469224e+01
2.470000000000000000e+02,5.588573717948718667e+01
2.480000000000000000e+02,5.999558404558406721e+01
2.490000000000000000e+02,6.398786502849003455e+01
2.500000000000000000e+02,7.117659366096866336e+01
2.510000000000000000e+02,7.864234775641030240e+01
2.520000000000000000e+02,8.827060185185187891e+01
2.530000000000000000e+02,9.799589120370376349e+01
2.540000000000000000e+02,1.061483440170940469e+02
2.550000000000000000e+02,1.142878160612535652e+02
2.560000000000000000e+02,1.223238960113960587e+02
