Wavenumber,Intensity
0.000000000000000000e+00,3.084226476584413512e-01
1.000000000000000000e+00,1.822291689000269110e-01
2.000000000000000000e+00,8.828946965494494092e-02
3.000000000000000000e+00,2.660354585470201677e-02
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.690553863301723615e-03
6.000000000000000000e+00,2.608107972161772051e-02
7.000000000000000000e+00,3.512703956775246883e-02
8.000000000000000000e+00,4.344257169868373514e-02
9.000000000000000000e+00,4.961340567152761755e-02
1.000000000000000000e+01,5.342462141872538622e-02
1.100000000000000000e+01,5.389355389065456081e-02
1.200000000000000000e+01,4.998872355828153091e-02
1.300000000000000000e+01,4.642082654860647806e-02
1.400000000000000000e+01,4.655322066612400944e-02
1.500000000000000000e+01,5.038385310694013658e-02
1.600000000000000000e+01,5.767926621830643530e-02
1.700000000000000000e+01,6.702982324731067421e-02
1.800000000000000000e+01,7.600140353887877009e-02
1.900000000000000000e+01,8.490708445415390271e-02
2.000000000000000000e+01,9.709353948073264073e-02
2.100000000000000000e+01,1.147590683112961196e-01
2.200000000000000000e+01,1.426118934700026097e-01
2.300000000000000000e+01,1.757811901617968298e-01
2.400000000000000000e+01,2.155458156158535921e-01
2.500000000000000000e+01,2.671645411613665644e-01
2.600000000000000000e+01,3.311500208056832872e-01
2.700000000000000000e+01,4.026178295451952049e-01
2.800000000000000000e+01,4.843752003101389203e-01
2.900000000000000000e+01,5.647790748203860289e-01
3.000000000000000000e+01,6.445413677347037185e-01
3.100000000000000000e+01,7.267510626475166546e-01
3.200000000000000000e+01,7.986673803081300038e-01
3.300000000000000000e+01,8.518495239883697723e-01
3.400000000000000000e+01,8.955126595443639870e-01
3.500000000000000000e+01,9.266417838446144861e-01
3.600000000000000000e+01,9.501773907757375959e-01
3.700000000000000000e+01,9.719074198132642284e-01
3.800000000000000000e+01,9.887439287648214226e-01
3.900000000000000000e+01,9.971695233138814229e-01
4.000000000000000000e+01,1.000000000000000000e+00
4.100000000000000000e+01,9.956569261790675363e-01
4.200000000000000000e+01,9.843877640075594515e-01
4.300000000000000000e+01,9.623846664576058973e-01
4.400000000000000000e+01,9.319221086433095991e-01
4.500000000000000000e+01,8.948200885644154168e-01
4.600000000000000000e+01,8.504248192826833197e-01
4.700000000000000000e+01,8.063818740958595965e-01
4.800000000000000000e+01,7.673708821651700207e-01
4.900000000000000000e+01,7.264916473884683867e-01
5.000000000000000000e+01,6.807222367476399860e-01
5.100000000000000000e+01,6.308951914386488058e-01
5.200000000000000000e+01,5.676729751300605420e-01
5.300000000000000000e+01,4.974022861817045116e-01
5.400000000000000000e+01,4.313520357341371625e-01
5.500000000000000000e+01,3.698116058530535044e-01
5.600000000000000000e+01,3.124608130607674505e-01
5.700000000000000000e+01,2.646067163544582601e-01
5.800000000000000000e+01,2.213584952360409530e-01
5.900000000000000000e+01,1.862257229422968341e-01
6.000000000000000000e+01,1.598990958600258194e-01
6.100000000000000000e+01,1.384906451536112859e-01
6.200000000000000000e+01,1.208784451269536986e-01
6.300000000000000000e+01,1.090430618083724906e-01
6.400000000000000000e+01,1.008331407749683689e-01
6.500000000000000000e+01,9.527937602952997465e-02
6.600000000000000000e+01,8.870511748371293081e-02
6.700000000000000000e+01,8.153566586465346711e-02
6.800000000000000000e+01,7.526313155489566808e-02
6.900000000000000000e+01,7.140248696436807263e-02
7.000000000000000000e+01,6.999902106563400672e-02
7.100000000000000000e+01,7.166278619267660299e-02
7.200000000000000000e+01,7.357817825926668553e-02
7.300000000000000000e+01,7.400289099011855831e-02
7.400000000000000000e+01,7.282989899311999304e-02
7.500000000000000000e+01,7.043475906682014620e-02
7.600000000000000000e+01,6.729374594555644074e-02
7.700000000000000000e+01,6.450443589074103534e-02
7.800000000000000000e+01,6.106137087849651535e-02
7.900000000000000000e+01,5.738459567356249402e-02
8.000000000000000000e+01,5.389261009071728836e-02
8.100000000000000000e+01,5.029301599261318256e-02
8.200000000000000000e+01,4.673058173788133263e-02
8.300000000000000000e+01,4.370876849243746781e-02
8.400000000000000000e+01,4.116287524907961959e-02
8.500000000000000000e+01,3.942582178440595664e-02
8.600000000000000000e+01,3.845484337283442550e-02
8.700000000000000000e+01,3.788586800055920162e-02
8.800000000000000000e+01,3.767922632131783661e-02
8.900000000000000000e+01,3.776991892696296427e-02
9.000000000000000000e+01,3.821282383788161124e-02
9.100000000000000000e+01,3.908043340977460783e-02
9.200000000000000000e+01,4.014370681799554752e-02
9.300000000000000000e+01,4.186318616242178103e-02
9.400000000000000000e+01,4.381735825930461320e-02
9.500000000000000000e+01,4.557451455739377350e-02
9.600000000000000000e+01,4.705453348902394889e-02
9.700000000000000000e+01,4.826441782130360542e-02
9.800000000000000000e+01,4.892847948992013613e-02
9.900000000000000000e+01,4.941086927965961106e-02
1.000000000000000000e+02,4.951591747535557392e-02
1.010000000000000000e+02,4.931766909640907665e-02
1.020000000000000000e+02,4.892291796330733994e-02
1.030000000000000000e+02,4.851847630542355239e-02
1.040000000000000000e+02,4.797170025305699109e-02
1.050000000000000000e+02,4.731492606318730282e-02
1.060000000000000000e+02,4.679984561921583797e-02
1.070000000000000000e+02,4.647238893684923350e-02
1.080000000000000000e+02,4.624532781217224886e-02
1.090000000000000000e+02,4.589116993646615017e-02
1.100000000000000000e+02,4.528005168592610236e-02
1.110000000000000000e+02,4.430589867559272393e-02
1.120000000000000000e+02,4.313482290975825806e-02
1.130000000000000000e+02,4.199441775139815813e-02
1.140000000000000000e+02,4.080116221743911031e-02
1.150000000000000000e+02,3.955464332364636709e-02
1.160000000000000000e+02,3.836196435672269145e-02
1.170000000000000000e+02,3.727863599727752192e-02
1.180000000000000000e+02,3.634318008784412357e-02
