Wavenumber,Intensity
0.000000000000000000e+00,2.522450980392156907e+02
1.000000000000000000e+00,2.106740196078431211e+02
2.000000000000000000e+00,1.288799019607843093e+02
3.000000000000000000e+00,7.149264705882352189e+01
4.000000000000000000e+00,3.811764705882352899e+01
5.000000000000000000e+00,2.250980392156862919e+01
6.000000000000000000e+00,2.447058823529411598e+01
7.000000000000000000e+00,2.639460784313725483e+01
8.000000000000000000e+00,2.778431372549019329e+01
9.000000000000000000e+00,2.964460784313725483e+01
1.000000000000000000e+01,3.188480392156862919e+01
1.100000000000000000e+01,3.262500000000000000e+01
1.200000000000000000e+01,3.174264705882353255e+01
1.300000000000000000e+01,3.549509803921568363e+01
1.400000000000000000e+01,4.333823529411764497e+01
1.500000000000000000e+01,5.580882352941176805e+01
1.600000000000000000e+01,7.213725490196078738e+01
1.700000000000000000e+01,9.396568627450982092e+01
1.800000000000000000e+01,1.230882352941176379e+02
1.900000000000000000e+01,1.530073529411764639e+02
2.000000000000000000e+01,1.831838235294117965e+02
2.100000000000000000e+01,2.040661764705882035e+02
2.200000000000000000e+01,2.152965686274509665e+02
2.300000000000000000e+01,2.229534313725490335e+02
2.400000000000000000e+01,2.264803921568627345e+02
2.500000000000000000e+01,2.247058823529411882e+02
2.600000000000000000e+01,2.177377450980391984e+02
2.700000000000000000e+01,2.049460784313725128e+02
2.800000000000000000e+01,1.875416666666666572e+02
2.900000000000000000e+01,1.717573529411764639e+02
3.000000000000000000e+01,1.554828431372549176e+02
3.100000000000000000e+01,1.337083333333333428e+02
3.200000000000000000e+01,1.062696078431372513e+02
3.300000000000000000e+01,8.449019607843138147e+01
3.400000000000000000e+01,6.850245098039216884e+01
3.500000000000000000e+01,5.652941176470588402e+01
3.600000000000000000e+01,4.617892156862745168e+01
3.700000000000000000e+01,4.005637254901960631e+01
3.800000000000000000e+01,3.851470588235294201e+01
3.900000000000000000e+01,3.673529411764706509e+01
4.000000000000000000e+01,3.377205882352941302e+01
4.100000000000000000e+01,3.157352941176470651e+01
4.200000000000000000e+01,3.005637254901961342e+01
4.300000000000000000e+01,2.963235294117646745e+01
4.400000000000000000e+01,3.027205882352940947e+01
4.500000000000000000e+01,2.991666666666666785e+01
4.600000000000000000e+01,2.943627450980392268e+01
4.700000000000000000e+01,2.836519607843137081e+01
4.800000000000000000e+01,2.641176470588235148e+01
4.900000000000000000e+01,2.584068627450980671e+01
5.000000000000000000e+01,2.584558823529411953e+01
5.100000000000000000e+01,2.587009803921568718e+01
5.200000000000000000e+01,2.579411764705882248e+01
5.300000000000000000e+01,2.528676470588235148e+01
5.400000000000000000e+01,2.521813725490196134e+01
5.500000000000000000e+01,2.508088235294117752e+01
5.600000000000000000e+01,2.526470588235294201e+01
5.700000000000000000e+01,2.462745098039215819e+01
5.800000000000000000e+01,2.457107843137255188e+01
5.900000000000000000e+01,2.432843137254901933e+01
6.000000000000000000e+01,2.431127450980392268e+01
6.100000000000000000e+01,2.430637254901960986e+01
6.200000000000000000e+01,2.429411764705882604e+01
6.300000000000000000e+01,2.431127450980392268e+01
6.400000000000000000e+01,2.454901960784313530e+01
6.500000000000000000e+01,2.475245098039215463e+01
6.600000000000000000e+01,2.474264705882352544e+01
6.700000000000000000e+01,2.474264705882352544e+01
6.800000000000000000e+01,2.475000000000000000e+01
6.900000000000000000e+01,2.476960784313725483e+01
7.000000000000000000e+01,2.475980392156862919e+01
7.100000000000000000e+01,2.473284313725489980e+01
7.200000000000000000e+01,2.497549019607842880e+01
7.300000000000000000e+01,2.519362745098039014e+01
7.400000000000000000e+01,2.518382352941176450e+01
7.500000000000000000e+01,2.485049019607842880e+01
7.600000000000000000e+01,2.486764705882352544e+01
7.700000000000000000e+01,2.516666666666666785e+01
7.800000000000000000e+01,2.515441176470588402e+01
7.900000000000000000e+01,2.485539215686274517e+01
8.000000000000000000e+01,2.487745098039215463e+01
8.100000000000000000e+01,2.515931372549019684e+01
8.200000000000000000e+01,2.513725490196078383e+01
8.300000000000000000e+01,2.515196078431372584e+01
8.400000000000000000e+01,2.516666666666666785e+01
8.500000000000000000e+01,2.516666666666666785e+01
